[EMAIL] Using SMTP backend - smtp.gmail.com:587
INFO 2025-11-26 14:42:00,304 cli Starting server at tcp:port=8001:interface=0.0.0.0
INFO 2025-11-26 14:42:00,304 server HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2025-11-26 14:42:00,304 server Configuring endpoint tcp:port=8001:interface=0.0.0.0
127.0.0.1:51915 - - [26/Nov/2025:15:10:01] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:10:01] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:10:02] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:10:02] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:10:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:10:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:10:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:10:47] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:11:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:11:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:11:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:11:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:11:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:11:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:11:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:11:47] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:12:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:12:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:12:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:15:12:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:12:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:12:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:12:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:15:12:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:15:13:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:15:13:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
